Cow cheese (red wine),"Juliénas, Morgon (beaujolais), St Nicolas de Bourgueil, Côtes de Beaune, Santenay, Côtes du Rhône, Costières-de-Nimes, St-Joseph, Alsace Pinot Noir, Côteaux d’Aix-en-Provence, Languedoc, Bergerac."
Sheep cheese,"Lalande de Pomerol, Côtes de Provence rouge, Côte de Blaye, Sancerre, Régnié (beaujolais), Reuilly, Cheverny, Irouléguy, Patrimonio, Madiran, St Chinian."
"Desserts with nuts, chocolate, praline","Rivesaltes, Banuyls, Maury, Pineau des Charentes rouge, Floc de Gasgogne rouge, Châteauneuf-du-Pape, Cahors"
Aperitif (rosé wine),"Côtes-de-Provence, Baux-de-Provence, Lubéron, Ventoux, Sancerre, Corse-Figari, Beaujolais rosé, Côtes-d’Auvergne-Corent, Côte-Roannaise, Saint-Pourçain, Gris-de-Toul, Collioure, Reuilly."
Starters,"Côtes de Provence, Coteaux d’Aix-en-Provence, bordeaux rosé, Patrimonio, Bandol, Sancerre, Gris de Toul, Collioure, Cassis, Côtes-du-Roussillon, Minervois, Corbières, Bergerac, Tursan, Chinon, Reuilly."
Seafood and fish,"Côtes de Provence, Bandol, Corse, Sancerre, Tavel, Cassis, Collioure, beaujolais, Cabardès, Marsannay."
Poultry or white meat and grilled meat (rosé wine),"Sancerre, Touraine, Tavel, Corse-Figari, bordeaux, Bellet, Palette, Baux-de-Provence, St Chinian, Marsannay, Bugey rosé (vin du Jura), Arbois Poulsard."
"Sauerkraut
","Riesling, Pinot Blanc, Sylvaner, Moselle blanc."
Snails stuffed with garlic and butter,"Chablis, Pernand-Vergelesses blanc"
Mirabelle pie,Gewurztraminer
Bourguignon beef,"Beaune rouge, Pommard, Aloxe-Corton."
Fondue bourgignonne,"Marsannay rouge, Mercurey rouge, Irancy."
"Raclette, tartiflette, fondue savoyarde","Roussette de Savoie, Seyssel, Chignin, Abymes"
Bouillabaisse,"Côtes-de-Provence blanc, Bandol blanc, Cassis blanc or rosé, Bellet blanc or rosé, Palette blanc or rosé."
Basilic pasta,Bandol or Cassis rosé.
Vegetables tian,Bellet or Palette rouge.
"Aubergines, tomato, and stuffed pepper","Coteaux d’Aix, or Côtes de Provence rouge."
Grilled fishes,Bandol or Cassis blanc.
Duck with orange or cherry,Madiran or Cahors
Duck breast or truffle sauce,Pécharmant
Cassoulet,"Cahors, un Madiran, Pécharmant, Bergerac, Gaillac, St-Mont"
Beaufort,Vin jaune
Sheep basque,Jurançon
Brie,Coteaux champenois
Cantal or laguiole,Vin de paille du Jura ou un rouge souple type
Chaource,Coteaux champenois
Cîteaux,Meursault
Coulommiers,Sancerre rouge
Crottin de Chavignol sec,Vouvray moelleux
Époisses,Corton-Charlemagne
Fourme d’Ambert,Côte roannaise rouge ou côtes du Forez
Mimolette,Bordeaux rouge
Mont d’Or,Gamay de Chautagne
Pérail de brebis,Gaillac rouge souple
Pont-l’évêque,Bordeaux rouge
Reblochon,Altesse de Savoie
Rigote,Condrieu
Sainte-maure,Sancerre or Pouilly-Fumé
Saint-marcellin,Saint-joseph rouge
Saint-nectaire,Bordeaux rouge
Tomme de Savoie,Chignin-Bergeron
